Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,DifficultyLevel,QuestionType,AnswerType,GameNumber
מהי בירת ישראל?,ירושלים,תל אביב,חיפה,באר שבע,1,1,text,text,1
מהי בירת ארצות הברית?,ניו יורק,וושינגטון די.סי.,לוס אנג'לס,שיקגו,2,1,text,text,1
מהי בירת צרפת?,פריז,מרסיי,ליון,בורדו,1,2,text,text,1
מהי בירת גרמניה?,ברלין,מינכן,פרנקפורט,המבורג,1,2,text,text,1
מהי בירת איטליה?,רומא,מילאנו,ונציה,פירנצה,1,3,text,text,1
מהי בירת ספרד?,מדריד,ברצלונה,ולנסיה,סביליה,1,3,text,text,1
מהי בירת יפן?,טוקיו,קיוטו,אוסקה,הירושימה,1,4,text,text,1
מהי בירת סין?,בייג'ינג,שנגחאי,שנזן,הונג קונג,1,4,text,text,1
מהי בירת קנדה?,אוטווה,טורונטו,ונקובר,מונטריאול,1,5,text,text,1
מהי בירת אוסטרליה?,קנברה,סידני,מלבורן,בריסביין,1,5,text,text,1
מהי בירת ברזיל?,ברזיליה,ריו דה ז'ניירו,סאו פאולו,סלבדור,1,6,text,text,1
מהי בירת ארגנטינה?,בואנוס איירס,קורדובה,רוסאריו,מנדוסה,1,6,text,text,1
מהי בירת מצרים?,קהיר,אלכסנדריה,גיזה,לוקסור,1,7,text,text,1
מהי בירת דרום אפריקה?,פרטוריה,יוהנסבורג,קייפטאון,דרבן,1,7,text,text,1
מהי בירת הודו?,ניו דלהי,מומבאי,בנגלור,קולקטה,1,8,text,text,1
מהי בירת פקיסטן?,איסלאמאבאד,לאהור,קרצ'י,פישאוור,1,8,text,text,1
מהי בירת רוסיה?,מוסקבה,סנט פטרסבורג,נובוסיבירסק,יקטרינבורג,1,9,text,text,1
מהי בירת אוקראינה?,קייב,חרקוב,אודסה,דניפרו,1,9,text,text,1
מהי בירת מקסיקו?,מקסיקו סיטי,גואדלחרה,מונטריי,טיחואנה,1,10,text,text,1
מהי בירת קולומביה?,בוגוטה,מדיין,קאלי,ברנקייה,1,10,text,text,1
